1. 風量 | Air volume
18. 施工交通安全管制 | Construction Traffic Safety Management
19. 警示設施 | Warning Facilities
20. 覆蓋板 | Cover Plate
21. 臨時行人通道 | Temporary Pedestrian Passageway
22. 圍籬 | Fence
23. 防溢座 | Overflow Seat
24. 大型施工機具 | Heavy Construction Machinery
25. 消防設施 | Firefighting Facilities
26. 易燃易爆物 | Flammable and Explosive Materials
27. 禁止吸菸場所 | No Smoking Area
28. 水冷式箱體冷氣機 | Water-Cooled Packaged Air Conditioner
29. 水沙式箱體冷氣機 | Sandscreen Packaged Air Conditioner
30. 制冷系統 | Refrigeration System
31. 倉儲系統 | Cold Storage System
33. 冷卻塔 | Cooling Tower
34. 水泵 | Water Pump
35. 冷凝器 | Condenser
36. 蒸發器 | Evaporator
37. 製冷劑 | Refrigerant
38. 壓縮機 | Compressor
39. 換熱器 | Heat Exchanger
40. 冷熱水主機 | Chilled and Heat Water Unit
41. 風機盤管 | Fan Coil Unit
42. 風管 | Air Duct
43. 隔振器 | Vibration Isolator
44. 溫度感測器 | Temperature Sensor
45. 壓力感測器 | Pressure Sensor
46. 濕度感測器 | Humidity Sensor
47. 空氣品質感測器 | Air Quality Sensor
48. 馬達 | Motor
49. 變頻器 | Inverter
50. 控制系統 | Control System
1. 冷卻能力 | Cooling Capacity
2. 冷卻水量 | Cooling Water Flow Rate
3. 入水溫度 | Inlet Water Temperature
4. 出水溫度 | Outlet Water Temperature
5. 冷卻水管尺寸 | Cooling Water Pipe Size
6. 冷卻水頭損失 | Cooling Water Head Loss
7. 電壓 | Voltage
8. 相數 | Number of Phases
9. 頻率 | Frequency
10. 壓縮機類型 | Compressor Type
11. 壓縮機數量 | Number of Compressors
12. 壓縮機保護 | Compressor Protection
13. 風量 | Air Flow Rate
14. 風扇類型 | Fan Type
15. 機外靜壓 | External Static Pressure
16. 主軸材質 | Shaft Material
17. 振動 | Vibration
18. 馬達類型 | Motor Type
19. 馬達外型 | Motor Enclosure
20. 馬達效率 | Motor Efficiency
21. 外殼材質 | Casing Material
22. 內部絕緣 | Internal Insulation
23. 底座材質 | Base Frame Material
24. 排水管材質 | Drain Pipe Material
25. 排水管尺寸 | Drain Pipe Size
26. 噪音等級 | Noise Level
27. 控制方式 | Control Type
28. 溫度控制精度 | Temperature Control Accuracy
29. 通訊協定 | Communication Protocol
30. 接口元件 | Interface Components
31. 出風口法蘭 | Air Outlet Flange
32. 防腐蝕底座 | Corrosion-Resistant Base Frame
33. 附件 | Accessories
34. 付款方式 | Payment Method
35. 交貨地點 | Delivery Location
36. 保固期限 | Warranty Period
37. 保固書 | Warranty Certificate
38. 效率等級 | Efficiency Rating
39. 驗證文件 | Verification Document
40. 品牌 | Brand
41. 型錄 | Catalog
42. 測試資料 | Test Data
1. 全密閉防水型馬達 | Totally enclosed waterproof motor
2. 感應馬達 | Induction motor
3. 渦卷式壓縮機 | Scroll compressor
4. 直接膨脹式冷卻盤管 | Direct expansion cooling coil
5. 無縫銅管 | Seamless copper pipe
6. 鋁鰭片 | Aluminum fins
7. 膨脹閥 | Expansion valve
8. 毛細管 | Capillary tube
9. 過濾乾燥器 | Filter drier
10. 冷媒填充閥 | Refrigerant charging valve
11. 臥式殼管型冷凝器 | Horizontal shell and tube condenser
12. 氣冷式冷凝器 | Air-cooled condenser
13. 多翼式風機 | Multi-wing fan
14. 軸流式風機 | Axial fan
15. 可清洗尼龍過濾網 | Washable nylon filter
16. 高低壓開關 | High and low pressure switch
17. 壓縮機內裝繞組溫度開關 | Compressor internal winding temperature switch
18. 控制線路變壓器 | Control circuit transformer
19. 電驛 | Relay
20. 屋內（或回風）溫度開關 | Indoor (or return air) temperature switch
21. 冷氣／停止選擇開關 | Cooling / stop selection switch
22. 自動／運轉風機控制開關 | Automatic / fan running control switch
23. 延時電路 | Time delay circuit
24. 遠控 | Remote control
25. 運轉顯示 | Running display
26. 異常接點 | Abnormal contact
27. 水流保護接點 | Water flow protection contact
29. 高低壓力表 | High and low pressure gauge
30. 壓克力罩 | Acrylic cover
31. 橡膠墊 | Rubber pad
33. 防凍開關 | Anti-freeze switch
34. 欠逆相保護開關 | Phase reversal protection switch
35. 壓縮機水流保護接點 | Compressor water flow protection contact
36. 消音毯 | Sound-absorbing blanket
37. 乾燥過濾器 | Filter drier
38. 關斷閥 | Shut-off valve
40. 冷氣能力 | Cooling capacity
42. 風量 | Airflow
43. 水冷式 | Water-cooled
44. 水量 | Water flow rate
45. 水壓降 | Water pressure drop
46. 耗電量全入力 | Total input power
47. 冷卻能力測量標準 | Cooling capacity measurement standard
48. 室內側吸入空氣 | Indoor air temperature when measuring cooling capacity
49. 冷卻水入/出水溫度 | Cooling water inlet/outlet temperature
50. 中興堂 | Zhongxing Hall
1. 溫度計 | Thermometer
2. 壓力錶 | Manometer
3. 風速 | Airflow
4. 電壓 | Voltage
5. 頻率 | Frequency
6. 馬力 | Horsepower
7. 噸數 | Ton
8. 冷卻能力 | Cooling Capacity
9. 噪音 | Noise Level
10. 能源效率比 | Energy Efficiency Ratio (EER)
11. 濕度 | Humidity
12. 空氣品質 | Air Quality
13. 濾網 | Filter
14. 風管 | Duct
15. 風扇 | Fan
16. 壓縮機 | Compressor
17. 冷凝器 | Condenser
18. 蒸發器 | Evaporator
19. 膨脹閥 | Expansion Valve
20. 異常顯示介面 | Fault Display Interface
21. 電腦控制系統 | Computer Control System
22. 自動逆洗砂瀘器 | Automatic Backwash Sand Filter
23. 熱浸鍍鋅爬梓 | Hot-dip Galvanized Crawling Zippers
24. 不鏽鋼防護欄杆 | Stainless Steel Protective Railings
26. 數位式變頻控制系統 | Digital Inverter Control System
27. 溫度感測器 | Temperature Sensor
28. 屋外型繼電體 | Outdoor Relay
29. 冷卻水塔 | Cooling Tower
30. 水泵 | Water Pump
31. 水流開關 | Water Flow Switch
32. 第三方公證測試報告 | Third-Party Notary Test Report
33. 冷媒 | Refrigerant
34. 銅管 | Copper Pipe
35. 鋼管 | Steel Pipe
36. 閥門 | Valve
37. 軟管 | Flexible Hose
38. 過濾器 | Filter
39. 逆止閥 | Check Valve
40. 平衡閥 | Balancing Valve
41. 防震軟管 | Anti-Vibration Hose
42. 管路配件 | Piping Accessories
43. 控盤 | Control Panel
44. 溫度控制器 | Temperature Controller
45. 排氣扇 | Exhaust Fan
46. 磁開關 | Magnetic Switch
47. 控制變壓器 | Control Transformer
48. 配電盤 | Distribution Panel
49. 異常報警 | Fault Alarm
50. 自動控制 | Auto Control
3. 冷卻水泵組 | Chilled Water Pump Set
4. 免維護式軸承與軸封 | Maintenance-Free Bearings and Seals
5. 冷卻水泵基座及避震器更新 | Chilled Water Pump Base and Vibration Damper Upgrade
6. 冷卻水系 | Chilled Water System
7. 軸承 | Bearings
8. 軸封 | Seals
9. 冷卻水泵 | Chilled Water Pump
10. 冷卻水泵馬達 | Chilled Water Pump Motor
11. 冷卻塔 | Cooling Tower
12. 空調主機 | Air Conditioner
13. 變頻器 | Inverter
14. 馬達 | Motor
15. 壓縮機 | Compressor
16. 冷媒 | Refrigerant
17. 冷凝器 | Condenser
18. 蒸發器 | Evaporator
19. 膨脹閥 | Expansion Valve
20. 過濾器 | Filter
21. 風扇 | Fan
22. 水管 | Water Pipe
23. 風管 | Air Duct
24. 新風機 | Fresh Air Handling Unit
25. 排風機 | Exhaust Fan
26. 加濕器 | Humidifier
27. 除濕機 | Dehumidifier
28. 空調控制器 | Air Conditioner Controller
29. 溫控器 | Thermostat
30. 傳感器 | Sensor
31. 自動化系統 | Automation System
32. 監控系統 | Monitoring System
33. 維護管理系統 | Maintenance Management System
34. 節能系統 | Energy Saving System
35. 環保系統 | Environmentally Friendly System
36. 智能空調系統 | Intelligent Air Conditioning System
37. 物聯網空調系統 | Internet of Things Air Conditioning System
44. 系統測試及點對點測試 | System Test and Point-to-Point Test
45. 人員訓練 | Personnel Training
46. 舊有設備、電盤拆除及更新 | Removal and Replacement of Existing Equipment and Electrical Panels
49. 含內襯材支撐角件及固定螺栓組 | With Lining Material Support Brackets and Bolt Sets
50. 管路修改、標示 | Pipeline Modification and Marking
1. 水冷式箱型冷氣機 | Water-cooled packaged air conditioner
2. 斜虢江空白 | Transformer blank
3. 廣牌 | Brand
4. 塊號江室白 | Number blank
5. 件號人空白 | Part number blank
6. 行政院財產分頭編號 | Executive Yuan property classification number
9. 各播具及新舊水管路壓力測試 | Pressure test of all instruments and new and old water pipes
10. 葵文品名﹕(空白﹀ | Unempty product name
12. 廠牌﹔(坊白》 | Brand
13. 型號人窕史﹚ | Model blank
14. 行政院財產分類編號﹔(窕白﹚ | Executive Yuan property classification number
16. 箱型機演量開閘 | Box type machine power switch
18. 型號(客自﹚ | Model blank
19. 件虧﹔(空白﹚ | Part number blank
20. 行政院財產分類編號﹔(穿白﹚ | Executive Yuan property classification number
23. 屈外墩 | Outer wall
24.  যুগতক্জডযনদৃ৷ | যুগতক্জডযনদৃ৷
27. {{শনিক উইন্ডো}} | {{শনিক উইন্ডো}}
1. 溫控範圍 | Temperature Control Range
2. 風速設定 | Airflow Setting
3. 定時開關 | Timer Function
4. 睡眠模式 | Sleep Mode
5. 除濕功能 | Dehumidification
6. 冷媒 | Refrigerant
8. 壓縮機型式 | Compressor Type
9. 室外機尺寸 | Outdoor Unit Dimension
10. 室內機尺寸 | Indoor Unit Dimension
11. 耗電量 | Power Consumption
12. 電壓 | Voltage
13. 頻率 | Frequency
14. 風量 | Airflow Rate
17. 噪音值 | Noise Level
18. 過濾器型式 | Filter Type
19. 維修成本 | Maintenance Cost
20. 使用年限 | Service Life
21. 安裝難度 | Installation Difficulty
22. 保固期限 | Warranty Period
23. 智能功能 | Smart Features
24. 遠端遙控 | Remote Control
25. 手機應用程式支援 | Mobile App Support
26. 自動除霜功能 | Auto Defrost Function
27. 自動清洗功能 | Auto Cleaning Function
28. 自動擺風功能 | Auto Swing Function
29. 抗菌防霉功能 | Antibacterial and Mold Proof Function
30. 防冷風功能 | Anti-Cold Wind Function
31. 速冷功能 | Fast Cooling Function
32. 速暖功能 | Fast Heating Function
33. 冷暖切換功能 | Cooling and Heating Switch Function
34. 換氣功能 | Ventilation Function
35. 新風功能 | Fresh Air Function
36. 負離子功能 | Negative Ion Function
37. 景觀設計 | Landscape Design
38. 材質 | Material
39. 顏色 | Color
40. 造型 | Model
41. 品牌 | Brand
42. 安裝方式 | Installation Method
43. 使用環境 | Usage Environment
44. 適用空間 | Suitable Space
45. 價格範圍 | Price Range
46. 產地 | Origin
47. 銷售通路 | Sales Channel
48. 客戶評價 | Customer Review
49. 網路購物 | Online Shopping
50. 實體店面 | Physical Store
1. 水冷箱型機空調設備 | Water-cooled packaged air conditioning unit
2. 室內平均設備發熱量 | Indoor average equipment heat release
3. 平均熱負載 | Average heat load
4. 上吹式 | Top-blowing type
5. 底座 | Base
6. 框架 | Frame
7. 外板 | Exterior panel
8. 壓縮機 | Compressor
9. 凝結器 | Condenser
10. 蒸發器 | Evaporator
11. 毛細管 | Capillary tube
12. 冷媒管路 | Refrigerant piping
13. 送風設備 | Air delivery equipment
14. 濾網 | Filter
15. 操作控制盤 | Operation control panel
16. 電子零件 | Electronic components
17. 保溫材 | Insulation material
18. 組裝 | Assembly
19. 驗證 | Verification
20. 出貨 | Shipment
22. 高顯熱大風量 | High sensible heat and high air volume
23. 冷房負載恆溫恆濕型 | Cooling load constant temperature and humidity type
24. 箱型冷氣機能源效率比值 | Packaged air conditioning energy efficiency ratio
26. 磨光鋼板 | Polished steel plate
27. 耐蝕電著 | Anti-corrosion electrophoretic coating
28. 粉體塗裝 | Powder coating
29. 內部貼附 | Internal attachment
30. 保溫棉 | Insulation cotton
31. 靜音棉 | Soundproofing cotton
32. 防振橡膠 | Anti-vibration rubber
33. 進出水口 | Water inlet and outlet
34. 電源 | Power supply
35. 冷媒 | Refrigerant
36. 聯接管 | Connecting pipe
37. 接水管 | Water supply pipe
38. 排水管 | Drain pipe
39. 冷卻水 | Cooling water
40. 耗電量 | Power consumption
41. 噪音 | Noise
42. 能源效率比 | Energy efficiency ratio
43. 使用面積 | Usable area
44. 機體尺寸 | Unit dimensions
45. 重量 | Weight
46. 安裝位置 | Installation location
47. 保固期 | Warranty period
48. 售後服務 | After-sales service
49. 檢附證明文件 | Attached supporting documents
50. 初審意見 | Preliminary review comments
1. 保溫效果 | Insulation Effect
2. 凝結器 | Condenser
3. 蒸發器 | Evaporator
4. 風扇系統 | Fan System
5. 電控盒 | Electric Control Box
6. 電器零件 | Electrical Components
7. 可熔栓 | Fuse
8. 乾燥過濾器 | Dryer Filter
9. 充填閥 | Charging Valve
10. 壓縮機 | Compressor
11. 冷凍油 | Refrigerant Oil
12. 油箱加熱器 | Oil Tank Heater
13. 水冷箱型機 | Water Cooled Package Unit
14. 殼管式 | Shell and Tube
15. 耐壓試驗 | Pressure Test
16. 氣密試驗 | Airtightness Test
17. 軟質無縫銅管 | Soft Seamless Copper Tube
18. 散熱鰭片 | Heat Radiator
19. 機械擴管 | Mechanical Expanding
20. 低溫氣焊熔接 | Low Temperature Gas Welding
21. 氣液混合冷媒 | Liquid-Gas Mixture Refrigerant
22. 分流管 | Diverter Pipe
23. 管集頭 | Header
24. 雙吸多翼式 | Double Inlet Multi-Blade
25. 葉輪 | Impeller
26. 靜平衡 | Static Balance
27. 動平衡 | Dynamic Balance
28. 滾珠軸承 | Ball Bearing
29. 密封油脂 | Sealed Grease
30. 防塵構造 | Dustproof Structure
32. 全密閉鼠籠式感應馬達 | Totally Enclosed Fan-Cooled Induction Motor
33. 防震基座 | Anti-Vibration Base
34. 三角皮帶 | V-Belt
35. 鑄鐵製皮帶輪 | Cast Iron Pulley
36. 電磁開關 | Magnetic Contactor
37. 輔助繼電器 | Auxiliary Relay
38. 限時電譯 | Time Delay Relay
39. 外部控制 | External Control
40. 連鎖配線 | Interconnected Wiring
41. 端子台 | Terminal Block
42. 變壓器 | Transformer
43. 恆溫控制器 | Thermostat
44. 溫度值感測器 | Temperature Sensor
45. 氣焊 | Gas Welding
46. 管板 | Tube Sheet
47. 鍍鋅鋼板 | Galvanized Steel Plate
48. 不鏽鋼 | Stainless Steel
49. 風管型機種 | Duct Type
50. 標稱能力 | Nominal Capacity
1. 起停開關 | Start-up switch
2. 電源指示燈 | Power indicator
3. 運轉指示燈 | Operation indicator
4. 異常指示 | Malfunction indication
5. 控制線路電源 | Control line power supply
6. 逆相保護器 | Reverse phase protector
7. 高、低壓壓力開關保護 | High and low pressure switch protection
8. 壓縮機馬達過載保護 | Compressor motor overload protection
9. 風扇馬達過載（或過熱）保護 | Fan motor overload (or overheat) protection
10. 空氣過濾網 | Air filter
11. 冷媒管路系統 | Refrigerant piping system
12. 排水 | Drainage
13. 基座 | Base
15. 送風 | Air delivery
16. 迴風 | Air return
17. 新鮮風 | Fresh air
18. 排風 | Exhaust air
19. 冷水主管 | Chilled water supply pipe
20. 冷水回水管 | Chilled water return pipe
21. 冷凝水管 | Condensation water pipe
22. 熱水主管 | Hot water supply pipe
23. 熱水回水管 | Hot water return pipe
24. 循環水主管 | Circulation water supply pipe
25. 循環水回水管 | Circulation water return pipe
26. 熱交換器 | Heat exchanger
27. 冷卻塔 | Cooling tower
28. 水泵 | Water pump
29. 風機 | Blower
30. 風門 | Damper
31. 靜壓箱 | Static pressure box
32. 風速計 | Anemometer
33. 溫度計 | Thermometer
34. 溼度計 | Hygrometer
35. 氣流調整 | Airflow adjustment
36. 自動控制系統 | Automatic control system
37. 遠端控制器 | Remote controller
38. 空調系統 | Air conditioning system
39. 換氣系統 | Ventilation system
40. 除濕系統 | Dehumidification system
41. 加濕系統 | Humidification system
42. 空氣淨化 | Air purification
43. 通風 | Ventilation
44. 空氣調溫 | Air conditioning
45. 能源回收 | Energy recovery
46. 責任維護 | Maintenance contract
1. 屋內式箱型空調機組 | Packaged rooftop air conditioner (for indoor)
2. 外箱 | Outer casing
3. 送風機 | Blower
4. 壓縮機 | Compressor
5. 蒸發器 | Evaporator
6. 冷凝器 | Condenser
7. 空氣過濾網 | Air filter
8. 接觸器 | Contactor
9. 高低壓開關 | High and low pressure switch
10. 壓縮機內裝繞組溫度開關 | Compressor internal winding temperature switch
11. 控制線路變壓器 | Control circuit transformer
12. 電驛 | Relay
13. 溫度開關 | Temperature switch
14. 送風／停止／冷氣切換開關 | Fan on/off/cooling on/off switch
15. 屋內（或回風）溫度開關 | Indoor (or return air) temperature switch
16. 冷氣／停止選擇開關 | Cooling on/off switch
17. 自動／運轉風機控制開關 | Automatic/manual fan operation switch
18. 延時電路 | Time delay circuit
19. 關斷閥 | Shut-off valve
20. 排水接頭 | Drain connection
21. 冷凍油 | Refrigerating oil
22. 框架 | Frame
23. 箱板 | Box panel
24. 鍍鋅鋼板 | Galvanized steel plate
25. 多翼扇 | Multi-blade fan
26. 全密閉渦卷式壓縮機 | Hermetic scroll compressor
27. 直接膨脹式冷卻盤管 | Direct expansion cooling coil
28. 毛細管 | Capillary tube
29. 過濾器 | Filter
30. 冷媒填充閥 | Refrigerant charging valve
31. 臥式殼管型 | Horizontal shell and tube type
32. 尼龍網 | Nylon mesh
33. 片狀 | Sheet-like
34. 可拆換 | Replaceable
35. 水盤 | Water pan
36. 冷媒 | Refrigerant
37. 水冷式機組 | Water-cooled unit
38. 水冷式機組之冷凝器進出水管 | Inlet and outlet water pipes of condenser in water-cooled unit
39. 冷凝水排水系統 | Condensate drainage system
40. 檢驗 | Examination
41. 安裝 | Installation
42. 廠商說明書 | Manufacturer's instructions
43. 鍍鋅鋼板 | Galvanized steel plate
44. 保溫材料 | Insulating material
45. 葉輪 | Impeller
46. 球軸承 | Ball bearing
47. 永久密封油脂 | Permanently sealed grease
48. 無縫銅管 | Seamless copper tube
49. 鋁鰭片 | Aluminum fins
50. 機械脹管法 | Mechanical expansion
1. 基礎座 | Base
2. 箱型冷氣機避震墊 | Shock Absorber for Package Air-Cooled Unit
3. 箱型冷氣機安裝工資 | Installation Fee for Package Air-Cooled Unit
4. 分離式冷氣機 | Split-Type Air Conditioner
5. 分離式冷氣機基礎座 | Split-Type Air Conditioner Base
6. 分離式冷氣機避震墊 | Split-Type Air Conditioner Shock Absorber
7. 分離式冷氣機安裝工資 | Installation Fee for Split-Type Air Conditioner
9. 保溫軟管 | Insulated Flexible Duct
10. 電力及排水系統連接工料費 | Electrical and Drainage Connection Equipment Cost
11. 空氣門 | Air Valve
12. 防震基座(箱型冷氣專用型) | Shockproof Base (Special for Package Air Conditioner)
13. 鍍鋅水管 | Galvanized Water Pipe
15. 鉋金銅全量型球閥 | Full-Bore Brass Globe Valve
17. 不銹鋼全量型球閥 | Stainless Steel Full-Bore Globe Valve
18. 不銹鋼蝶閥 | Stainless Steel Butterfly Valve
19. 不銹鋼逆止閥 | Stainless Steel Check Valve
20. 不銹鋼防震軟管 | Stainless Steel Shockproof Flexible Duct
21. 溫度計、壓力錶 | Thermometer, Pressure Gauge
25. 定時器 | Timer
26. 定(計)時器 | Timer
29. 水流開關 | Water Flow Switch
30. 單切開關((附蓋板) | Single Pole Switch (With Cover Plate)
31. 風口 | Air Vent
32. 風口附件 | Air Vent Accessories
33. 尼龍風管 | Nylon Air Duct
34. 風管保溫材 | Air Duct Insulation Material
35. 全密閉式渦卷式雙壓縮機 | Fully Enclosed Scroll-Type Twin Compressor
38. 直結式 | Direct-Drive
39. 變頻控制 | Variable Frequency Drive (VFD)
3. 防震基座 | Anti-vibration base
14. 五金另料 | Hardware sundries
15. 不鏽鋼防震軟管 | Stainless steel vibration-proof flexible hose
16. 不鏽鋼曲管及拷克 | Stainless steel bend pipe and caulking
17. 配管工資(含油漆) | Piping labor (including painting)
18. 風管修改(含防震帆布風管) | Modification of air duct (including vibration-proof canvas air duct)
19. 暨有排水管疏通 | Dredging of existing drain pipe
26. 定時器 | Timer
27. 屋外型防水金屬浪管 | Outdoor waterproof metal corrugated pipe
28. 五金另料 | Hardware sundries
29. 安裝工資 | Installation labor
30. 浴室 | Bathroom
31. 浴室排風 | Bathroom exhaust fan
32. 機 | Machine
33. 箱型不銹鋼 | Box type stainless steel
34. 直結式 | Direct type
4. 不銹鋼曲管及拷克 | Stainless steel bends and caulking
5. 不銹鋼防震軟管 | Stainless steel shock-absorbing flexible hose
10. 五金另料 | Other hardware
11. 配管工資 | Plumbing labor
12. 風管修改(含防震帆布風管) | Duct modification (including anti-vibration canvas duct)
13. 暨有冷卻水管拆除及排水管疏通 | Removal of existing cooling water pipes and drain pipe cleaning
16. 屋外型防水金屬浪管 | Outdoor waterproof metal corrugated pipe
17. 五金另料 | Other hardware
18. 安裝工資 | Installation labor
21. 法蘭 | Flange
22. 吊架 | Hanger
24. 保溫另料強力膠 | Insulation adhesive
25. 帆布接頭 | Canvas joint
29. 風管開孔、風口、風門按裝 | Duct opening, grille, and damper installation
30. 風管油漆工料 | Duct painting materials and labor
33. 暨有風管拆除及清運 | Existing duct removal and disposal
34. 新設風管製作工資 | New duct fabrication labor
35. 新設風管保溫工資 | New duct insulation labor
36. 新設方型風管及圓型風管按裝工程 | New rectangular and circular duct installation work
37. 樓板穿牆打洞修補 | Floor slab wall hole drilling and repair
38. 五金另料 | Other hardware
39. 材料運費及自走車 | Material transportation and vehicle
41. 法蘭 | Flange
42. 吊架 | Hanger
43. 帆布接頭 | Canvas joint
45. 風管開孔、風口、風門按裝 | Duct opening, grille, and damper installation
46. 風管油漆工料 | Duct painting materials and labor
48. 新設風管製作工資 | New duct fabrication labor
49. 新設風管按裝工程 | New duct installation work
2. 風量 | Airflow
3. 風速 | Air velocity
4. 冷卻能力 | Cooling capacity
5. 製冷劑 | Refrigerant
6. 管線尺寸 | Pipe size
7. 管線長度 | Pipe length
8. 電源電壓 | Power supply voltage
9. 電源頻率 | Power supply frequency
10. 馬達功率 | Motor power
11. 溫度範圍 | Temperature range
12. 能效比 | Energy efficiency ratio
13. 噪音 | Noise level
14. 過濾器 | Filter
15. 除濕能力 | Dehumidification capacity
16. 加濕能力 | Humidification capacity
17. 風扇類型 | Fan type
18. 風向擺動 | Air swing
19. 定時功能 | Timer function
20. 遙控器 | Remote control
21. 除臭功能 | Deodorization function
22. 自動清潔功能 | Auto cleaning function
23. 智能控制系統 | Intelligent control system
24. 變頻技術 | Inverter technology
25. 睡眠模式 | Sleep mode
26. 除霜 | Defrosting
27. 防鏽 | Anti-rust
28. 防腐蚀 | Anti-corrosion
29. 防水 | Waterproof
30. 防尘 | Dustproof
31. 防霉 | Anti-mildew
32. 耐高溫 | Heat resistant
33. 耐低溫 | Cold resistant
34. 铜管 | Copper tube
35. 铝翅片 | Aluminum fin
36. 冷凝器 | Condenser
37. 蒸发器 | Evaporator
38. 膨胀阀 | Expansion valve
39. 冷凝器风扇 | Condenser fan
40. 蒸发器风扇 | Evaporator fan
41. 压缩机 | Compressor
42. 热交换器 | Heat exchanger
43. 压力开关 | Pressure switch
44. 温度传感器 | Temperature sensor
45. 排水管 | Drain pipe
46. 冷媒管 | Refrigerant pipe
47. 连接线 | Connecting wire
48. 管道保温 | Pipe insulation
49. 冷凝水盘 | Condensation tray
50. 冷凝水泵 | Condensation pump
8. 戶外頻為屑外塑 | Outdoor unit frequency and outside plastic
9. 塊基座及避震更新 | Unit base and shock absorption update
10. 彈簡式避霖器日吻遵宏偪 | Compact surge arrester function
11. 免維護武輪承與輪封，屋外型 | Maintenance-free bearing and seal, outdoor type
12. 冷卻水素基座及避震更新 | Cooling water unit base and shock absorption update
17. 系絕測試及點對點測試 | Insulation test and point-to-point test
18. 人員訓練(含講師場地教材﹚ | Staff training (including instructors, venues and materials)
19. 旧方設備、電盤拆除及秦置 | Old equipment, electrical panel removal and relocation
1. 冷卻能力 | Cooling Capacity
2. 熱泵能力 | Heat Pump Capacity
3. 能源效率比 | Energy Efficiency Ratio (EER)
4. 制熱效率比 | Coefficient of Performance (COP)
5. 抽濕量 | Dehumidification
6. 噪音值 | Noise Level
7. 風扇 | Fan
8. 定時器 | Timer
9. 睡眠模式 | Sleep Mode
10. 自動清洗 | Self-Cleaning
11. 觸控面板 | Touch Screen Panel
12. 遙控器 | Remote Control
14. 濾網 | Filter
15. 安裝方式 | Installation Type
16. 匹數 | Capacity
19. 溫度設定範圍 | Temperature Setting Range
20. 異常警示 | Error Warning
21. 防鏽 | Rust-proof
22. 防震動 | Vibration-proof
23. 防漏 | Leak-proof
24. 防結霜 | Frost-proof
25. 防霉 | Mold-proof
26. 耐高溫 | High-temperature Resistant
27. 抗紫外線 | UV Resistant
28. 靜電集塵 | Electrostatic Dust Collection
29. 臭氧淨化 | Ozone Purification
30. 負離子功能 | Negative Ion Function
31. 換氣功能 | Ventilation Function
32. 冷媒 | Refrigerant
33. 冷凝器 | Condenser
34. 蒸發器 | Evaporator
35. 迴風 | Return Air
36. 送風 | Supply Air
37. 排風 | Exhaust
38. 新風 | Fresh Air
39. 焓差 | Enthalpy
40. 馬力 | Horsepower
41. 電壓 | Voltage
42. 電流 | Current
43. 功率 | Power
44. 重量 | Weight
45. 尺寸 | Dimension
46. 型號 | Model
47. 品牌 | Brand
48. 保固 | Warranty
49. 認證 | Certification
50. 售後服務 | After-Sales Service
1. 訂製長度 | Customized length
2. 反向循環冷暖 | Reverse cycle cooling and heating
3. 定頻 | Fixed speed
4. 變頻 | Inverter
5. 溫濕度控制 | Temperature and humidity control
6. 過濾器 | Filter
7. 冷媒 | Refrigerant
8. 能源效率等級 | Energy efficiency rating
9. 壓縮機 | Compressor
10. 風扇 | Fan
11. 鰭片 | Fin
12. 交換器 | Coil
13. 鼓風機 | Blower
14. 送回風口 | Supply and return air grille
15. 風管 | Duct
16. 保溫材料 | Insulation material
17. 冷媒管 | Refrigerant piping
18. 冷凝水管 | Condenser drain
19. 控制器 | Controller
20. 遙控器 | Remote controller
21. 自動化 | Automation
22. 定時器 | Timer
23. 除濕 | Dehumidification
24. 新風 | Fresh air
25. 熱回收 | Heat recovery
26. 冷凍循環 | Refrigerating cycle
27. 冷媒循環 | Refrigerant cycle
28. 壓縮機保護 | Compressor protection
29. 防過載保護 | Overload protection
30. 防漏電保護 | Leakage protection
31. 安全保護 | Safety protection
32. 故障排除 | Troubleshooting
33. 保養維護 | Maintenance
34. 使用說明 | Operating instructions
35. 製冷量 | Cooling capacity
36. 制熱量 | Heating capacity
37. 能源消耗 | Energy consumption
38. 噪音水平 | Noise level
39. 尺寸重量 | Dimension and weight
40. 安裝方式 | Installation method
41. 維修配件 | Maintenance parts
42. 品牌型號 | Brand and model
43. 產地 | Origin
44. 保固期限 | Warranty period
45. 售後服務 | After-sales service
46. 適用空間 | Applicable area
47. 適用環境 | Applicable environment
48. 安裝注意事項 | Installation precautions
49. 使用注意事項 | Usage precautions
50. 維護保養注意事項 | Maintenance precautions
1. 外箱 | Cabinet
2. 檢修門 | Inspection door
3. 風管內襯 | Duct liner
4. 隔音材料 | Acoustic material
5. 水盤 | Water drain pan
6. 雙車雙吸口離心式送風機 | Double inlet forward curve centrifugal fan
7. 三角皮帶 | V-belt
8. 全密閉防水型感應馬達 | Totally enclosed fan-cooled (TEFC) motor
9. 壓縮機 | Compressor
10. 往復式壓縮機 | Reciprocating compressor
11. 渦卷壓縮機 | Scroll compressor
12. 蒸發器 | Evaporator
13. 溫度式膨脹閥 | Thermostatic expansion valve (TEV)
14. 過濾乾燥器 | Filter drier
15. 冷媒填充閥 | Refrigerant charging valve
16. 水冷式冷凝器 | Water-cooled condenser
17. 氣冷式冷凝器 | Air-cooled condenser
18. 臥式殼管型水冷式冷凝器 | Horizontal shell and tube water-cooled condenser
19. 多翼式風機 | Multi-vane fan
20. 軸流式風機 | Axial fan
21. 金屬過濾網 | Metal filter
22. 尼絨過濾網 | Nylon filter
23. 玻璃纖維過濾網 | Fiberglass filter
24. 接觸器 | Contactor
